segment_id,points,mean_PRICE_ln,id,mean_chislennost_naseleniya_092025,mean_srednmes_zarplata,mean_temp_prirosta_percent,mean_house_point_count,mean_area_km2,mean_density_hp_per_km2
RKZ27-S1040,362,16.89035136289774,KZ27,53521.07692307693,312077.6153846155,-1.0692307765667253,13123.0,371015.6941888456,0.03537047139930539
RKZ75-S25,362,17.264204136413156,KZ75,265156.2222222222,449734.5555555556,1.9988888944519896,99477.0,1326.1170511370503,75.01374023862044
RKZ62-S1292,361,16.164999620981614,KZ62,43949.0,490622.0,-1.040000016987324,3398.0,418898.6216032993,0.008111747866332052
RKZ75-S169,361,17.30086406764248,KZ75,265156.2222222222,449734.5555555556,1.9988888944519894,99477.0,1326.1170511370503,75.01374023862044
RKZ15-S740,361,16.95238756655221,KZ15,73385.6923076923,351445.7692307692,-1.4115384358626142,27347.0,687637.4113374825,0.039769505773121015
RKZ75-S115,361,17.99958725163643,KZ75,265156.2222222222,449734.5555555556,1.9988888944519894,99477.0,1326.1170511370503,75.01374023862044
RKZ15-S710,360,16.704993665808576,KZ15,73385.69230769228,351445.76923076913,-1.4115384358626144,27347.0,687637.4113374825,0.03976950577312101
RKZ11-S876,360,16.555059588816956,KZ11,39407.75,331957.70000000007,-1.1775000073015691,15670.0,381477.35256276047,0.04107714362262692
RKZ75-S148,360,17.685810193594172,KZ75,265156.2222222222,449734.5555555556,1.9988888944519891,99477.0,1326.1170511370503,75.01374023862044
RKZ39-S578,360,16.859164186617498,KZ39,41135.549999999996,326000.04999999993,-1.5620000118389723,35451.0,506678.7579654624,0.06996740921674184
RKZ79-S961,359,16.93356262719256,KZ79,256825.80000000002,312770.3999999999,2.042000079154968,15196.0,2131.4607012414285,7.129383146097593
RKZ10-S1163,359,16.932741375417848,KZ10,49833.33333333333,349858.1666666666,-1.7957504387894272,8900.0,426717.47642755177,0.020856891249240984
RKZ43-S1298,358,16.362730294142708,KZ43,94007.55555555555,374483.88888888893,-0.6288888888888888,2666.0,456466.4530904353,0.005840516826483657
RKZ63-S1384,358,16.932944422329815,KZ63,55431.923076923085,352771.4615384615,-1.860538461538461,11466.0,223878.88109457793,0.051215192535986345
RKZ79-S992,358,17.11948597840891,KZ79,256825.80000000002,312770.3999999999,2.0420000791549677,15196.0,2131.4607012414285,7.129383146097593
RKZ39-S537,358,16.486650925265604,KZ39,41135.54999999999,326000.04999999993,-1.562000011838972,35451.0,506678.75796546234,0.06996740921674184
RKZ47-S814,357,16.91502378508775,KZ47,116436.8571428571,473486.28571428574,0.2742857124124254,18699.0,322714.5706815746,0.057942843920891565
RKZ39-S560,357,17.05152021495088,KZ39,41135.549999999996,326000.05,-1.562000011838972,35451.0,506678.7579654624,0.06996740921674183
RKZ71-S375,357,16.736921062410804,KZ71,320298.0,506373.6666666667,4.891999927163124,83901.0,1819.4872380352294,46.11244214639305
RKZ55-S940,356,16.252252838864187,KZ55,57466.461538461546,322668.30769230763,-1.7430768941457457,15354.0,326237.7798687255,0.04706383180445344
RKZ79-S989,355,17.036415328404843,KZ79,256825.8,312770.3999999999,2.0420000791549677,15196.0,2131.4607012414285,7.129383146097593
RKZ27-S1060,355,16.923874395185408,KZ27,53521.076923076915,312077.6153846155,-1.0692307765667253,13123.0,371015.6941888455,0.03537047139930539
RKZ71-S407,354,16.77947516352481,KZ71,320298.0,506373.6666666667,4.891999927163124,83901.0,1819.4872380352294,46.11244214639305
RKZ79-S962,353,17.065866104057438,KZ79,256825.8,312770.39999999997,2.0420000791549677,15196.0,2131.4607012414285,7.129383146097593
RKZ11-S852,352,16.398760136069196,KZ11,39407.75,331957.70000000007,-1.1775000073015691,15670.0,381477.3525627605,0.04107714362262692
RKZ71-S426,352,16.595298516037055,KZ71,320298.0,506373.66666666674,4.891999927163125,83901.0,1819.4872380352294,46.11244214639305
RKZ15-S783,352,16.33828747401248,KZ15,73385.6923076923,351445.7692307692,-1.4115384358626144,27347.0,687637.4113374825,0.039769505773121015
RKZ75-S136,352,17.340513134045658,KZ75,265156.2222222222,449734.5555555556,1.9988888944519894,99477.0,1326.1170511370503,75.01374023862044
RKZ47-S808,351,16.406456822810664,KZ47,116436.85714285713,473486.2857142857,0.27428571241242544,18699.0,322714.5706815746,0.05794284392089157
RKZ11-S860,351,16.681048878355718,KZ11,39407.75,331957.70000000007,-1.1775000073015693,15670.0,381477.3525627605,0.04107714362262691
RKZ75-S114,350,17.19919862802258,KZ75,265156.2222222222,449734.55555555556,1.9988888944519896,99477.0,1326.11705113705,75.01374023862044
RKZ75-S198,350,17.11685536557214,KZ75,265156.2222222222,449734.55555555556,1.9988888944519896,99477.0,1326.11705113705,75.01374023862044
RKZ75-S51,349,17.231048473950057,KZ75,265156.2222222222,449734.55555555556,1.9988888944519896,99477.0,1326.11705113705,75.01374023862044
RKZ39-S511,348,16.829444918496748,KZ39,41135.54999999999,326000.04999999993,-1.562000011838972,35451.0,506678.7579654623,0.06996740921674183
RKZ75-S65,348,17.276985509071878,KZ75,265156.2222222222,449734.55555555556,1.9988888944519894,99477.0,1326.1170511370503,75.01374023862044
